datetime,card_id,name,affiliation,action,result,approved_listed
2025-07-02 09:05,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-07-02 09:26,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-07-04 09:34,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-07-04 10:28,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-07-07 09:10,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-07-07 09:56,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-07-09 09:02,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-07-09 09:46,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-07-11 09:22,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-07-11 10:05,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-07-14 09:18,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-07-14 09:59,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-07-16 09:16,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-07-16 09:45,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-07-18 09:09,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-07-18 09:35,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-07-21 09:34,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-07-21 10:21,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-07-23 09:09,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-07-23 09:54,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-07-25 09:21,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-07-25 09:49,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-07-28 09:25,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-07-28 10:19,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-07-30 09:31,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-07-30 10:24,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-08-01 09:29,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-08-01 10:21,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-08-04 09:35,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-08-04 10:13,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-08-06 09:14,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-08-06 09:45,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-08-08 09:06,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-08-08 10:03,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-08-11 09:14,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-08-11 10:09,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-08-13 09:17,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-08-13 09:52,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-08-15 09:16,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-08-15 10:08,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-08-18 09:28,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-08-18 10:10,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-08-20 09:20,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-08-20 10:17,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-08-22 09:20,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-08-22 09:52,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-08-25 09:33,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-08-25 10:33,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-08-27 09:04,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-08-27 09:54,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-08-29 09:08,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-08-29 09:57,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-09-01 09:07,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-09-01 09:51,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-09-03 09:06,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-09-03 09:34,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-09-05 09:36,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-09-05 10:25,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-09-08 09:36,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-09-08 10:22,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-09-10 09:33,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-09-10 10:29,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-09-12 09:00,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-09-12 09:58,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-09-15 09:32,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-09-15 10:22,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-09-17 09:39,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-09-17 10:02,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-09-19 09:11,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-09-19 09:50,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-09-22 09:38,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-09-22 10:21,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-09-24 09:40,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-09-24 10:31,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-09-26 09:32,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-09-26 09:52,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-09-29 09:05,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-09-29 09:58,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-10-01 09:12,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-10-01 10:00,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-10-03 09:39,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-10-03 10:17,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-10-06 09:09,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-10-06 09:34,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-10-08 09:40,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-10-08 10:13,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-10-10 09:11,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-10-10 09:53,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-10-12 02:13,C-0999,（不明）,—,IN,DENY,N
2025-10-13 09:26,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-10-13 10:19,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-10-15 09:21,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-10-15 09:45,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-10-17 09:31,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-10-17 10:04,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-10-20 09:30,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-10-20 09:51,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-10-22 09:27,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-10-22 09:52,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-10-24 09:36,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-10-24 10:09,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-10-27 09:26,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-10-27 10:06,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-10-29 09:37,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-10-29 10:18,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-10-31 09:06,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-10-31 09:41,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-11-03 09:35,C-0103,設備管理 小林,総務部（設備）,IN,OK,Y
2025-11-03 10:11,C-0103,設備管理 小林,総務部（設備）,OUT,OK,Y
2025-11-05 09:31,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-11-05 10:23,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-11-07 09:19,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-11-07 10:18,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-11-10 09:40,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-11-10 10:01,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-11-12 09:09,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-11-12 10:08,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
2025-11-14 09:38,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-11-14 10:30,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-11-17 09:33,C-0012,情シス 田口,情報システム部,IN,OK,Y
2025-11-17 10:32,C-0012,情シス 田口,情報システム部,OUT,OK,Y
2025-11-19 09:28,C-0021,情シス 佐藤,情報システム部,IN,OK,Y
2025-11-19 10:04,C-0021,情シス 佐藤,情報システム部,OUT,OK,Y
